asset,Total Raised,Total supply,Private/Pre-sale,Public sale,R1 type,R1 date,R1 Price,R1 ROI,R1 ATH ROI,R1 Raise,R1 Tokens For Sale,R1 Lock-up,R1 Min/Max personal Cap,R2 type,R2 date,R2 Price,R2 ROI,R2 ATH ROI,R2 Raise,R2 Tokens For Sale,R2 Lock-up,R2 Min/Max personal Cap,R3 type,R3 date,R3 Price,R3 ROI,R3 ATH ROI,R3 Raise,R3 Tokens For Sale,R3 Lock-up,R3 Min/Max personal Cap,R4 type,R4 date,R4 Price,R4 ROI,R4 ATH ROI,R4 Raise,R4 Tokens For Sale,R4 Lock-up,R4 Min/Max personal Cap,R5 type,R5 date,R5 Price,R5 ROI,R5 ATH ROI,R5 Raise,R5 Tokens For Sale,R5 Lock-up,R5 Min/Max personal Cap
solana,25550000,50818096,180150000,8000000,Private ,2018-04,$ 0.04,"1876.43x ( +187,543.1% )","6495.26x ( +649,425.9% )","$ 3,170,000","79,300,000",,,Private/Pre-sale ,2018-06,$ 0.200,"375.29x ( +37,428.6% )","1299.05x ( +129,805.2% )","$ 12,630,000","63,150,000",,,Pre-sale ,2019-07,$ 0.225,"333.59x ( +33,258.8% )","1154.71x ( +115,371.3% )","$ 5,700,000","28,500,000",,,Private/Pre-sale ,2020-01,$ 0.250,"300.23x ( +29,922.9% )","1039.24x ( +103,824.1% )","$ 2,290,000","9,200,000",,,ICO ,2020-03,$ 0.220,"341.17x ( +34,016.9% )","1180.96x ( +117,995.6% )","$ 1,760,000","8,000,000",,
cardano,,4500000000,,,ICO ,2018-01,$ 0.02,"37.11x ( +3,610.7% )","154.33x ( +15,333.1% )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luna,62000000,72562885,,,ICO ,2019-02,$ 0.800,"81.34x ( +8,034.3% )","149.02x ( +14,802% )","$ 62,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avalanche,18390000,37775219,67800000,138000000,Private ,2019-02,$ 0.330,"154.71x ( +15,371% )","442.93x ( +44,193.4% )","$ 5,940,000","42,900,000",12 months,,Private ,2020-05,$ 0.500,"102.11x ( +10,110.9% )","292.34x ( +29,133.6% )","$ 12,450,000","24,900,000",12 months,,ICO ,2020-07,$ 0.500,"102.11x ( +10,110.9% )","292.34x ( +29,133.6% )",,"6,000,000",12 months,$100 / $25k,ICO ,2020-07,$ 0.850,"60.06x ( +5,906.4% )","171.96x ( +17,096.3% )",,"72,000,000",No lockup,$100 / $5k,ICO ,2020-07,$ 0.500,"102.11x ( +10,110.9% )","292.34x ( +29,133.6% )",,"60,000,000",18 months,$100 / 2.5M
tron,70000000,10190040918,,,ICO ,2017-09,$ 0.0019,"46.24x ( +4,524.1% )","158.09x ( +15,708.6% )","$ 70,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
near-protocol,10000000,100000000,,25000000,ICO ,2020-08,$ 0.400,"25.47x ( +2,447.4% )","51.27x ( +5,026.6% )","$ 10,000,000","25,000,000",40-day lock-up,"Min - 500 NEAR, Max - 100k NEAR",ICO ,2020-08,$ 0.340,"29.97x ( +2,897% )","60.31x ( +5,931.3% )",,,1-year linear lock-up,"Min - 500 NEAR, Max - 5M NEAR",ICO ,2020-08,$ 0.290,"35.14x ( +3,413.7% )","70.71x ( +6,971.1% )",,,2-year linear lock-up,"Min - 500 NEAR, Max - 5M NEAR",,,,,,,,,,,,,,,,,,
matic-network,5000000,1000000000,,1900000000,Private/Pre-sale ,2018-12,$ 0.00263,"366.93x ( +36,593% )","1104.89x ( +110,389.4% )",,,"50% unlocked in the first month of TGE, remaining 50% unlocked in the seventh month",,IEO ,2019-04,$ 0.00263,"366.93x ( +36,593% )","1104.89x ( +110,389.4% )","$ 5,000,000","1,900,000,000",,300 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,
leobitfinex,1000000000,98523950,,,Private/Pre-sale ,2019-05,$ 1.00,5.39x ( +439.1% ),8.16x ( +715.8% ),"$ 1,000,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algorand,60402219,721727137,,25000000,ICO ,2019-06,$ 2.40,0.3x ( -69.6% ),1.96x ( +96.1% ),"$ 60,402,219","25,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chainlink,32000000,100000000,,,ICO ,2017-09,$ 0.110,"92x ( +9,100.5% )","480.7x ( +47,969.8% )","$ 32,000,000",,,No / 7 ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
